NORAD ID,Next Report,Latitude,Longitude,Debris Type,Decay Date
58763,0,8.6,126.0,ROCKET BODY,2024-12-03 17:30:00
58763,0,7.8,126.2,ROCKET BODY,2024-12-03 17:34:00
